,location,characteristic,floor_type,hkd_millions,rent_hkd,area_sqft,address,last_updated,pay_per_month_K,loan_percent,first_payment_M,full_address
4107,New Territories East,"Rare Offer, Good Layout & Efficient",Medium Floor Zone,13.95,,1175.0,Tai Po Mid Level/Hong Lok Yuen    Deerhill Bay Medium Floor Zone,Last Updated : 04-03-2018,36.9,50.0,16.98,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen    Deerhill Bay Medium Floor Zone"
4108,New Territories East,"Quiet & Boutique Living, Great Value, Good Layout, Efficient, Spacious, Convenient",Medium Floor Zone,9.5,,803.0,Tai Po Mid Level/Hong Lok Yuen   Tai Po Garden  Medium Floor Zone,Last Updated : 12-03-2018,26.4,52.0,14.5,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen   Tai Po Garden  Medium Floor Zone"
4109,New Territories East,"Full Facilities, Quiet & Boutique Living",Medium Floor Zone (Flat D),7.0,,512.0,Ma On Shan Flat D Tower 7 Sausalito  Medium Floor Zone,Last Updated : 13-03-2018,22.2,60.0,12.8,"Hong Kong, New Territories East, Ma On Shan Flat D Tower 7 Sausalito  Medium Floor Zone"
4110,New Territories East,"Tranquil Environment, Tranquil Garden View, Good Layout, Efficient, Spacious, Convenient",| South West,52.5,,3089.0,Ma On Shan    Double Cove,Last Updated : 19-02-2018,139.0,50.0,126.25,"Hong Kong, New Territories East, Ma On Shan    Double Cove"
4111,New Territories East,"Great Value, Opportunity Knocking",Medium Floor Zone,4.4,,369.0,Sheung Shui/Fanling/Kwu Tung   Sheungshui Town Center  Medium Floor Zone,Last Updated : 06-03-2018,16.3,70.0,11.32,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Sheungshui Town Center  Medium Floor Zone"
4112,New Territories East,"Good Layout & Efficient, Below Cost",Low Floor Zone (Flat D)                                                                        | South East,8.5,,795.0,Shatin Flat D Juniper Court (Tower 3) Phase 3 Pictorial Garden Low Floor Zone,Last Updated : 10-03-2018,26.4,58.0,13.5,"Hong Kong, New Territories East, Shatin Flat D Juniper Court (Tower 3) Phase 3 Pictorial Garden Low Floor Zone"
4113,New Territories East,,Low Floor Zone,11.0,,730.0,Tai Po Mid Level/Hong Lok Yuen  Tower 9 Phase 1 Mont Vert Low Floor Zone,Last Updated : 02-03-2018,29.1,50.0,15.5,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen  Tower 9 Phase 1 Mont Vert Low Floor Zone"
4114,New Territories East,"Good Layout & Efficient, Quiet & Boutique Living",Low Floor Zone (Flat B),13.0,,1327.0,Sai Kung Flat B Block 3 Villa Rhapsody Symphony Bay Low Floor Zone,Last Updated : 13-03-2018,34.4,50.0,16.5,"Hong Kong, New Territories East, Sai Kung Flat B Block 3 Villa Rhapsody Symphony Bay Low Floor Zone"
4115,New Territories East,"For Sale & For Lease, Easy Shopping",Medium Floor Zone (Flat C),4.7,,376.0,Sheung Shui/Fanling/Kwu Tung Flat C Paris Court (Block 3) Sheungshui Town Center  Medium Floor Zone,Last Updated : 07-03-2018,17.4,70.0,11.41,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung Flat C Paris Court (Block 3) Sheungshui Town Center  Medium Floor Zone"
4116,New Territories East,"Spacious, Efficient, Good Layout",,27.29,,1905.0,Tai Po Mid Level/Hong Lok Yuen   Constellation Cove,Last Updated : 06-03-2018,72.3,50.0,113.65,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen   Constellation Cove"
4117,New Territories East,"Full Facilities, Tranquil Environment",Medium Floor Zone (Flat B),7.0,,540.0,Ma On Shan Flat B Block 2 La Costa  Medium Floor Zone,Last Updated : 13-03-2018,22.2,60.0,12.8,"Hong Kong, New Territories East, Ma On Shan Flat B Block 2 La Costa  Medium Floor Zone"
4118,New Territories East,,Medium Floor Zone                                                                        | South West,5.2,,336.0,Tai Wai   Phase 2 Golden Lion Garden Medium Floor Zone,Last Updated : 12-03-2018,19.2,70.0,11.56,"Hong Kong, New Territories East, Tai Wai   Phase 2 Golden Lion Garden Medium Floor Zone"
4119,New Territories East,"Spacious Rooms, Greenery Environment",High Floor Zone                                                                        | East,16.0,,1278.0,Tai Po Mid Level/Hong Lok Yuen   Jc Castle  High Floor Zone,Last Updated : 07-03-2018,42.3,50.0,18.0,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen   Jc Castle  High Floor Zone"
4120,New Territories East,"Good Layout & Efficient, Great Value",High Floor Zone                                                                        | North East,9.0,,1111.0,Sheung Shui/Fanling/Kwu Tung   Golf Parkview  High Floor Zone,Last Updated : 28-02-2018,26.4,55.0,14.0,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Golf Parkview  High Floor Zone"
4121,New Territories East,"Stylish Decoration, Opportunity Knocking",Medium Floor Zone (Flat C),5.5,,308.0,Shatin Flat C Block 1 Wai Wah Centre  Medium Floor Zone,Last Updated : 12-03-2018,20.4,70.0,11.65,"Hong Kong, New Territories East, Shatin Flat C Block 1 Wai Wah Centre  Medium Floor Zone"
4122,New Territories East,With Ensuite,Low Floor Zone,11.2,,1006.0,Tai Po Mid Level/Hong Lok Yuen  Block 18 Phase 1 Parc Versailles Low Floor Zone,Last Updated : 24-02-2018,29.6,50.0,15.6,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen  Block 18 Phase 1 Parc Versailles Low Floor Zone"
4123,New Territories East,"5-Star Club House, Quiet & Boutique Living",Medium Floor Zone (Flat E),4.68,,384.0,Sheung Shui/Fanling/Kwu Tung Flat E Block 3 Dawning Views  Medium Floor Zone,Last Updated : 13-03-2018,17.3,70.0,11.4,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung Flat E Block 3 Dawning Views  Medium Floor Zone"
4124,New Territories East,,Low Floor Zone                                                                        | East,7.5,16.0,626.0,Tai Po Market/Tai Wo  Block 1 Phase 2 Classical Gardens Low Floor Zone,Last Updated : 19-02-2018,23.8,60.0,13.0,"Hong Kong, New Territories East, Tai Po Market/Tai Wo  Block 1 Phase 2 Classical Gardens Low Floor Zone"
4125,New Territories East,"Convenient, Top Of Mtr",Medium Floor Zone (Flat E),5.8,,358.0,Shatin Flat E  Wai Wah Centre  Medium Floor Zone,Last Updated : 13-03-2018,21.5,70.0,11.74,"Hong Kong, New Territories East, Shatin Flat E  Wai Wah Centre  Medium Floor Zone"
4126,New Territories East,"Convenient, Quiet & Boutique Living",Low Floor Zone (Flat D),14.0,,959.0,Ma On Shan Flat D Block 6 Villa Oceania  Low Floor Zone,Last Updated : 23-02-2018,37.0,50.0,17.0,"Hong Kong, New Territories East, Ma On Shan Flat D Block 6 Villa Oceania  Low Floor Zone"
4127,New Territories East,"Grandstand View, Grand-Proportioned",High Floor Zone (Flat D)                                                                        | North East,22.0,,1457.0,Tai Po Mid Level/Hong Lok Yuen Flat D Tower 6 Deerhill Tower Deerhill Bay High Floor Zone,Last Updated : 09-03-2018,58.2,50.0,111.0,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen Flat D Tower 6 Deerhill Tower Deerhill Bay High Floor Zone"
4128,New Territories East,"Convenient, Easy Shopping",High Floor Zone                                                                        | South West,5.7,,407.0,Tai Po Market/Tai Wo    Tai Po Centre High Floor Zone,Last Updated : 08-03-2018,21.1,70.0,11.71,"Hong Kong, New Territories East, Tai Po Market/Tai Wo    Tai Po Centre High Floor Zone"
4129,New Territories East,"Good Layout & Efficient, Top Of Mtr",High Floor Zone (Flat 2),5.68,,338.0,Ma On Shan Flat 2 Block J Phase 4 Sunshine City High Floor Zone,Last Updated : 13-03-2018,21.0,70.0,11.7,"Hong Kong, New Territories East, Ma On Shan Flat 2 Block J Phase 4 Sunshine City High Floor Zone"
